Definition,Type,Vocab Dictionary Hiragana,Vocab dictionary Kanji,Vocab Masu Hiragana,Vocab Masu Kanji,Present Postive Hiragana,Present Postive Kanji,Present Negative Hiragana,Present Negative Kanji,Past Postive Hiragana,Past Postive Kanji,Past Negatie Hiragana,Past Negative Kanji,Te form
To understand,Verb ,わかる,分かる,わかります,分かります,わかります,分かります,わかりません,分かりません,わかりました,分かりました,わかりませんでした,分かりませんでした,
To do/ To play,Verb ,する,する,します,します,します,します,しません,しません,しました,しました,しませんでした,しませんでした,
To drink,Verb,のむ,飲む,のみます,飲みます,のみます,飲みます,のみません,飲みません,のみました,飲みました,のみませんでした,飲みませんでした,
To eat,Verb,たべる,食べる,たべます,食べます,たべます,食べます,たべません,食べません,たべました,食べました,たべませんでした,食べませんでした,
To go,Verb,いく,行く,いきます,行きます,いきます,行きます,いきません,行きません,いきました,行きました,いきませんでした,行きませんでした,
To come,Verb,くる,来る,きます,来ます,きます,来ます,きません,来ません,きました,来ました,きませんでした,来ませんでした,
To return,Verb,,,,,,,,,,,,,
To see,Verb,みる,見る,みます,見ます,みます,見ます,みません,見ません,みました,見ました,みませんでした,見ませんでした,
To be seen,Verb,みせる,見せる,みせます,見せます,みせます,見せます,みせません,見せません,みせました,見せました,みせませんでした,見せませんでした,
To be done,Verb,できる,出来る,できます,出来ます,,,,,,,,,
To make,Verb,つくる,作る,つくります,作ります,つくります,作ります,つくりません,作りません,つくりました,作りました,つくりませんでした,作りませんでした,
To use,Verb,つかいる,つかいる,,,,,,,,,,,
To differ,Verb,ちがう,,,,,,,,,,,,
To become a problem,Verb,こまる,,,,,,,,,,,,